1 --:-- 8 --:-- 3 --:-- some date
2 --:-- 8 --:-- 4 --:-- some date
3 --:-- 8 --:-- 5 --:-- some date
4 --:-- 8 --:-- 6 --:-- some date
5 --:-- 5 --:-- 7 --:-- some date
6 --:-- 5 --:-- 2 --:-- some date
7 --:-- 5 --:-- 3 --:-- some date
8 --:-- 5 --:-- 4 --:-- some date
9 --:-- 5 --:-- 8 --:-- some date
10 --:-- 2 --:-- 1 --:-- some date
11 --:-- 2 --:-- 4 --:-- some date
12 --:-- 2 --:-- 8 --:-- some date
13 --:-- 1 --:-- 3 --:-- some date
14 --:-- 1 --:-- 4 --:-- some date
15 --:-- 7 --:-- 6 --:-- some date
16 --:-- 7 --:-- 7 --:-- some date
17 --:-- 3 --:-- 9 --:-- some date
18 --:-- 9 --:-- 10 --:-- some date
19 --:-- 10 --:-- 11 --:-- some date
20 --:-- 4 --:-- 12 --:-- some date
